x,y,distance
-23,32,36.29
-28,32,36.29
-37,28,36.29
-41,25,36.29
-55,14,36.29
-57,11,68.71
-54,-9,68.71
-55,-14,68.71
-54,-16,68.71
-54,-19,68.71
-53,-19,68.71
-52,-20,68.71
-55,-25,68.71
-43,-48,68.71
2,-48,68.71
4,-58,68.71
-34,-81,68.71
-22,-81,68.71
-22,-97,68.71
44,-97,200
44,-43,66
57,-44,29.6
38,-32,29.6
42,-28,29.6
59,-42,29.6
60,-41,29.6
63,-42,42.67
59,-39,42.67
44,-18,42.67
44,-16,42.67
42,-14,42.67
45,-9,42.67
44,9,40.6
32,15,40.6
35,18,40.6
27,24,40.6
24,22,40.6
18,31,36.29
-12,27,36.29
-23,32,36.29
